IDPdv;Ciudad;Depto;Cadena;Canal;SubCanal;Tipologia;Regional;Formato;DiaEntregaPedidoNombre;DiaEntregaPedido;DiaHoy;DiaRestante;Lat;Lon
1596620;Santiago De Cali;VALLE DEL CAUCA;Abastecemos;Dtt;Smi;SMI M BASIC;Pacifico;Distrimarcas;;0;1;6;3,399039984;-76,57649994
1596621;Bogotá;BOGOTA D.C;Alkosto;Mt;Club;CLUB;Cundi-Boyaca;Alkosto;Lunes;1;1;0;6,164557;-75,604658
1596622;Bogotá;BOGOTA D.C;Alkosto;Mt;Club;CLUB;Cundi-Boyaca;Alkosto;Lunes;1;1;0;4,679433;-74,085287
1596623;Barranquilla;ATLÁNTICO;Alkosto;Mt;Club;CLUB;Atlantico;Alkosto;Viernes;5;1;4;11,011688;-74,827955
1596624;Pasto;NARIÑO;Alkosto;Mt;Club;SUPERG PREMIUM;Pacifico;Alkosto;Viernes;5;1;4;1,083610058;-77,20610046
1596625;Santiago De Cali;VALLE DEL CAUCA;Alkosto;Mt;Club;CLUB;Pacifico;Alkosto;Jueves;4;1;3;3,399039984;-76,57649994
1596626;Pasto;NARIÑO;Alkosto;Mt;Club;SUPERG PREMIUM;Pacifico;Alkosto;Viernes;5;1;4;1,083610058;-77,20610046
1596627;Bogotá;BOGOTA D.C;Alkosto;Mt;Club;CLUB;Cundi-Boyaca;Alkosto;Lunes;1;1;0;4,610953;-74,09511
1596628;Bogotá;BOGOTA D.C;Alkosto;Mt;Club;CLUB;Cundi-Boyaca;Alkosto;Lunes;1;1;0;4,316110134;-74,18109894
1596629;Floridablanca;SANTANDER;Alkosto;Mt;Club;CLUB;Santanderes;Alkosto;Viernes;5;1;4;7,079699993;-73,06800079
1596630;Ipiales;NARIÑO;Alkosto;Mt;Club;SUPERG PREMIUM;Pacifico;Alkosto;Viernes;5;1;4;0,558614016;-77,37039948
1596631;Ipiales;NARIÑO;Alkosto;Mt;Club;SUPERG PREMIUM;Pacifico;Alkosto;Viernes;5;1;4;0,558614016;-77,37039948
1596632;Pereira;RISARALDA;Alkosto;Mt;Club;CLUB;Eje Cafetero;Alkosto;Viernes;5;1;4;4,807678;-75,718477
1596633;Bogotá;BOGOTA D.C;Alkosto;Mt;Club;CLUB;Cundi-Boyaca;Alkosto;Lunes;1;1;0;4,596042;-74,139735
1596634;Villavicencio;META;Alkosto;Mt;Club;CLUB;Llanos;Alkosto;Viernes;5;1;4;4,091670036;-73,49289703
1596635;Palmira;VALLE DEL CAUCA;Cañaveral;Dtt;Smi;SMI G BASIC;Pacifico;Corbeta;;0;1;6;3,519865;-76,30394
1596636;Santiago De Cali;VALLE DEL CAUCA;Cañaveral;Dtt;Smi;SMI G BASIC;Pacifico;Corbeta;;0;1;6;3,399039984;-76,57649994
1596637;Santiago De Cali;VALLE DEL CAUCA;Cañaveral;Dtt;Smi;SMI G PREMIUM;Pacifico;Corbeta;;0;1;6;3,399039984;-76,57649994
1596638;Santiago De Cali;VALLE DEL CAUCA;Cañaveral;Dtt;Smi;SMI G BASIC;Pacifico;Corbeta;;0;1;6;3,399039984;-76,57649994
1596639;Jamundí;VALLE DEL CAUCA;Caribe;Dtt;Smi;SMI M BASIC;Pacifico;Tropicana;;0;1;6;3,213890076;-76,62760162
1596640;Barranquilla;ATLÁNTICO;Cencosud;Mt;Ka;SUPERG BASIC;Atlantico;Jumbo;Viernes;5;1;4;10,98502;-74,813169
1596641;Santa Marta;MAGDALENA;Cencosud;Mt;Ka;SUPERG BASIC;Atlantico;Jumbo;Viernes;5;1;4;11,21915;-74,20882
1596642;Santiago De Cali;VALLE DEL CAUCA;Pricesmart;Mt;Club;CLUB;Pacifico;Pricesmart;;0;1;6;3,399039984;-76,57649994
1596643;Pereira;RISARALDA;Pricesmart;Mt;Club;CLUB;Eje Cafetero;Pricesmart;;0;1;6;4,809148;-75,74311
1596644;Bogotá;BOGOTA D.C;Pricesmart;Mt;Club;CLUB;Cundi-Boyaca;Pricesmart;;0;1;6;4,666378;-74,11064
1596645;Bogotá;BOGOTA D.C;Pricesmart;Mt;Club;CLUB;Cundi-Boyaca;Pricesmart;;0;1;6;4,746503;-74,025261
1596646;Cúcuta;NORTE DE SANTANDER;Punto Y Fama;Dtt;Smi;SMI P;Santanderes;Pastor J Cucuta;;0;1;6;8,112030029;-72,48860168
1596647;Cúcuta;NORTE DE SANTANDER;Punto Y Fama;Dtt;Smi;SMI M BASIC;Santanderes;Pastor J Cucuta;;0;1;6;8,112030029;-72,48860168
1596648;Santa Marta;MAGDALENA;Rapimercar;Dtt;Smi;SMI G BASIC;Atlantico;Tropicana;;0;1;6;11,244515;-74,206757
1596649;Santa Marta;MAGDALENA;Rapimercar;Dtt;Smi;SMI G BASIC;Atlantico;Tropicana;;0;1;6;11,194117;-74,226657
1596650;Santa Marta;MAGDALENA;Rapimercar;Dtt;Smi;SMI G BASIC;Atlantico;Tropicana;;0;1;6;11,219788;-74,181687
1596651;Santa Marta;MAGDALENA;Rapimercar;Dtt;Smi;SMI M PREMIUM;Atlantico;Tropicana;;0;1;6;11,23647;-74,204617
1596652;Santiago De Cali;VALLE DEL CAUCA;Rapimerque;Dtt;Smi;SMI M PREMIUM;Pacifico;Distrimarcas;;0;1;6;3,399039984;-76,57649994
1596653;Santa Marta;MAGDALENA;San Isidro;Dtt;Mayorista;MAYORISTA;Atlantico;San Isidro;;0;1;6;11,245755;-74,20548
1596654;Santa Marta;MAGDALENA;San Isidro;Dtt;Mayorista;MAYORISTA;Atlantico;San Isidro;;0;1;6;11,244585;-74,206692
1596655;Santa Marta;MAGDALENA;San Isidro;Dtt;Mayorista;MAYORISTA;Atlantico;San Isidro;;0;1;6;11,246392;-74,206207
1596656;Santa Marta;MAGDALENA;San Isidro;Dtt;Mayorista;MAYORISTA;Atlantico;San Isidro;;0;1;6;11,194207;-74,22606
1596657;Santa Marta;MAGDALENA;San Isidro;Dtt;Mayorista;MAYORISTA;Atlantico;San Isidro;;0;1;6;11,244522;-74,206867
1596658;Santa Marta;MAGDALENA;San Isidro;Dtt;Mayorista;MAYORISTA;Atlantico;San Isidro;;0;1;6;11,245953;-74,206197
1596659;Valledupar;CESAR;Servivalle;Dtt;Mayorista;MAYORISTA;Atlantico;Servivalle;;0;1;6;10,46574;-73,247318
1596660;Valledupar;CESAR;Servivalle;Dtt;Mayorista;MAYORISTA;Atlantico;Servivalle;;0;1;6;10,465272;-73,247573
1596661;Valledupar;CESAR;Servivalle;Dtt;Mayorista;MAYORISTA;Atlantico;Servivalle;;0;1;6;10,465643;-73,247022
1596662;Santiago De Cali;VALLE DEL CAUCA;Su Papa;Dtt;Smi;SMI M BASIC;Pacifico;Tropicana;;0;1;6;3,399039984;-76,57649994
1596663;Santiago De Cali;VALLE DEL CAUCA;Super A;Dtt;Smi;SMI M PREMIUM;Pacifico;Distrimarcas;;0;1;6;3,453163;-76,548043
1596664;Bucaramanga;SANTANDER;Cencosud;Mt;Ka;SUPERG PREMIUM;Santanderes;Jumbo;Sábado;6;1;5;7,155829906;-73,11160278
1596665;Barranquilla;ATLÁNTICO;Cencosud;Mt;Ka;SUPERG PREMIUM;Atlantico;Jumbo;Viernes;5;1;4;11,012717;-74,828517
1596666;Bogotá;BOGOTA D.C;Cencosud;Mt;Ka;SUPERG BASIC;Cundi-Boyaca;Jumbo;Jueves - Lunes;1;1;0;4,712658;-74,07117
1596667;Bogotá;BOGOTA D.C;Cencosud;Mt;Ka;HYPER PREMIUM;Cundi-Boyaca;Jumbo;Jueves - Lunes;1;1;0;4,756763;-74,06454
1596668;Bogotá;BOGOTA D.C;Cencosud;Mt;Ka;HYPER PREMIUM;Cundi-Boyaca;Jumbo;Jueves - Lunes;1;1;0;4,690963;-74,084652
1596669;Bogotá;BOGOTA D.C;Cencosud;Mt;Ka;HYPER BASIC;Cundi-Boyaca;Jumbo;Jueves - Lunes;1;1;0;4,617508;-74,090262
1596670;Cartagena;BOLIVAR;Cencosud;Mt;Ka;HYPER PREMIUM;Atlantico;Jumbo;Viernes;5;1;4;10,413207;-75,529805
1596671;Chía;CUNDINAMARCA;Cencosud;Mt;Ka;SUPERG PREMIUM;Cundi-Boyaca;Jumbo;Jueves - Lunes;1;1;0;4,864128;-74,043407
1596672;Chía;CUNDINAMARCA;Cencosud;Mt;Ka;SUPERP PREMIUM;Cundi-Boyaca;Jumbo;Jueves - Lunes;1;1;0;4,865449905;-74,03690338
1596673;Santiago De Cali;VALLE DEL CAUCA;Cencosud;Mt;Ka;SUPERG PREMIUM;Pacifico;Jumbo;Jueves - Lunes;1;1;0;3,399039984;-76,57649994
1596674;Medellin;ANTIOQUIA;Cencosud;Mt;Ka;HYPER BASIC;Antioquia-Choco;Jumbo;Miercoles;3;1;2;6,253898;-75,58336
1596675;Cartagena;BOLIVAR;Cencosud;Mt;Ka;SUPERG BASIC;Atlantico;Jumbo;Viernes;5;1;4;10,42378;-75,540878
1596676;Girardot;CUNDINAMARCA;Cencosud;Mt;Ka;SUPERG BASIC;Centro;Jumbo;Jueves - Lunes;1;1;0;4,30512;-74,804265
1596677;Valledupar;CESAR;Cencosud;Mt;Ka;SUPERG PREMIUM;Atlantico;Jumbo;Viernes;5;1;4;10,493878;-73,269688
1596678;Bogotá;BOGOTA D.C;Cencosud;Mt;Ka;HYPER PREMIUM;Cundi-Boyaca;Jumbo;Jueves - Lunes;1;1;0;4,653353;-74,127471
1596679;Medellin;ANTIOQUIA;Cencosud;Mt;Ka;HYPER PREMIUM;Antioquia-Choco;Jumbo;Miercoles;3;1;2;6,186542;-75,582795
1596680;Pereira;RISARALDA;Cencosud;Mt;Ka;SUPERG BASIC;Eje Cafetero;Jumbo;Jueves - Lunes;1;1;0;4,808685;-75,743243
1596681;Bogotá;BOGOTA D.C;Cencosud;Mt;Ka;SUPERG BASIC;Cundi-Boyaca;Jumbo;Jueves - Lunes;1;1;0;4,63261;-74,115228
1596682;Popayán;CAUCA;Cencosud;Mt;Ka;SUPERG PREMIUM;Pacifico;Jumbo;Jueves - Lunes;1;1;0;2,471699953;-76,59190369
1596683;Santiago De Cali;VALLE DEL CAUCA;Cencosud;Mt;Ka;SUPERG BASIC;Pacifico;Jumbo;Jueves - Lunes;1;1;0;3,399039984;-76,57649994
1596684;Medellin;ANTIOQUIA;Cencosud;Mt;Ka;SUPERG PREMIUM;Antioquia-Choco;Jumbo;Miercoles;3;1;2;6,229202;-75,57129
1596685;Barranquilla;ATLÁNTICO;Cencosud;Mt;Ka;HYPER PREMIUM;Atlantico;Jumbo;Viernes;5;1;4;10,999647;-74,809323
1596686;Bogotá;BOGOTA D.C;Homesentry;Mt;Club;CLUB;Cundi-Boyaca;Homesentry;Sábado;6;1;5;4,67197;-74,088407
1596687;Santiago De Cali;VALLE DEL CAUCA;Homesentry;Mt;Club;CLUB;Pacifico;Homesentry;Lunes;1;1;0;3,399039984;-76,57649994
1596688;Arauca;ARAUCA;Independientes;Dtt;Smi;SMI P;Llanos;Tropiabastos;;0;1;6;6,796279907;-70,50920105
